Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Total TCP Flow Time,Label
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 10:44:16.054374,1074424,10,9,1462.0,1020.0,609.0,0.0,146.2,176.0472158888695,336.0,0.0,113.33333333333333,103.16855140981674,2310.0749797100584,17.683893881745007,59690.22222222221,147050.0769116168,584175.0,57.0,1074424.0,119380.44444444444,260203.9152866993,787915.0,105.0,864288.0,108036.0,205056.4325670932,584175.0,203.0,7,7,0,0,0,0,212,192,9.307312569339478,8.37658131240553,0.0,609.0,130.63157894736844,143.21708872520756,20511.13450292398,0,2,0,14,18,0,0,0,0.9,130.6315789473684,146.2,113.33333333333333,0,0,0,0,0,0,0,76,0,53,8192,251,9,20,0,0,0,0,0,0,0,0,1074424,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 10:46:17.142909,119999648,61794,361620,2576470.0,9.59583187E8,445.0,0.0,41.69450108424795,60.18371084344256,26280.0,6.0,2653.56779768813,4651.628056556072,8018020.66119394,3528.4603501503607,283.41040071986953,40124.14978530927,2.3352944E7,0.0,1.19999393E8,1941.957713656885,105038.9888448952,2.3352944E7,0.0,1.19999648E8,331.83999734527487,44064.68876560741,2.3553605E7,0.0,18194,17859,0,0,0,0,1235892,7232400,514.9515105244309,3013.50883962593,0.0,26280.0,2272.385081740285,4396.6601668302565,1.933062062259186E7,0,0,0,36053,423414,0,0,0,5.85202446839499,2272.38508174033,41.69450108424766,2653.567797688181,632,7,181057,62360,28,1030564620,0,6,0,2266,0,254,61793,0,7535077.5,8009438.815586551,1.3198606E7,1871549.0,1.4297486E7,1.2806351517099943E7,2.3352944E7,5242028.0,241088183,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 10:48:17.143206,119273678,96921,555234,3960892.0,1.480788221E9,300.0,0.0,40.86722175792639,59.080663386445096,26280.0,6.0,2666.962435657882,4664.921217244311,1.2448254618257014E7,5467.719373925905,182.89189056572488,12911.479874034661,2729100.0,0.0,1.19273678E8,1230.640507635164,33616.543334050904,2729100.0,0.0,1.19271262E8,214.81299202317808,14319.868570052018,2729565.0,0.0,28139,27521,0,0,0,0,1950648,11104680,812.5933703494915,4655.1260035764135,0.0,26280.0,2276.6813303585855,4404.598097501332,1.9400484400512353E7,0,0,0,55660,652155,0,0,0,5.728727520351627,2276.6813303585805,40.86722175792656,2666.9624356577588,637,7,122680,61829,27,1213746400,0,6,0,2270,254,256,95901,20,0,0,0,0,0,0,0,0,360362510,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 10:50:17.395058,119999918,95314,583905,3739023.0,1.484139646E9,300.0,0.0,39.22847640430607,56.03600523573488,26280.0,6.0,2541.7484796328617,4366.248334215287,1.2398997380981544E7,5660.1622011108375,176.67364233573855,14284.244649587945,4780662.0,0.0,1.19999918E8,1259.0089284777362,38220.375431562825,4780662.0,0.0,1.19999627E8,205.51259624869843,15930.42539129425,4987789.0,0.0,27058,25816,0,0,0,0,1925924,11678100,794.283876093982,4865.878325016855,0.0,26280.0,2190.5728034699127,4140.629909345728,1.7144816046168413E7,0,0,0,52874,679219,0,0,0,6.126119982374048,2190.5728034698677,39.228476404305766,2541.748479632817,701,8,101405,61555,28,1193608913,0,5,0,2185,256,256,94216,20,0,0,0,0,0,0,0,0,481340602,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 10:52:17.395066,120000000,97949,601490,4012573.0,1.535374152E9,300.0,6.0,40.96594145933104,58.47672813082072,26280.0,6.0,2552.617918834949,4401.178590162394,1.2828222708333334E7,5828.658333333334,171.5663146697804,15169.372037457788,3794430.0,0.0,1.19999856E8,1225.13839996734,40821.26963310245,3794430.0,0.0,1.2E8,199.50489535137024,17211.04006464274,3999752.0,0.0,28667,27978,0,0,0,0,1958980,12029800,816.2416666666667,5012.416666666667,6.0,26280.0,2200.887747180159,4173.481017997967,1.7417943807589345E7,0,0,0,56645,699439,0,0,0,6.14084880907411,2200.8877471802402,40.96594145933088,2552.6179188348933,631,7,191555,60776,27,1300394191,0,5,0,2195,0,254,97949,0,0,0,0,0,0,0,0,0,601340692,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 10:54:17.395068,118070264,90967,562838,3762073.0,1.405684534E9,300.0,6.0,41.356458935657685,58.427188509533046,26280.0,6.0,2497.49401070999,4264.660599788245,1.193735458235276E7,5537.4230382003725,180.58969354730883,13636.0583484059,3321461.0,0.0,1.18070054E8,1297.9580722467765,36773.98977031679,3321461.0,0.0,1.178523E8,209.38975227286076,15087.123411585879,3539668.0,0.0,27002,25556,0,0,0,0,1819340,11256760,770.4480105168564,4766.975027683516,6.0,26280.0,2155.7599085354314,4047.2059801256723,1.6379876245565003E7,0,0,0,52558,653805,0,0,0,6.187276704739081,2155.7599085354195,41.35645893565798,2497.4940107100088,643,7,165064,60876,28,1293242529,0,5,0,2150,0,254,90967,0,0,0,0,0,0,0,0,0,719410958,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 10:56:17.661268,118174408,89847,555532,3601945.0,1.428275676E9,300.0,6.0,40.0897637094177,57.178593639924394,26280.0,6.0,2571.005227421697,4441.273593581411,1.2116647294734068E7,5461.241659023161,183.10882614529436,14301.722436450724,4053450.0,0.0,1.18174408E8,1315.299601540416,38537.00795119083,4053450.0,0.0,1.17969184E8,212.35391724314047,15935.558346673446,4177951.0,0.0,25886,25336,0,0,0,0,1796940,11110640,760.2915176016791,4700.950141421483,6.0,26280.0,2218.6616251847136,4212.712709890221,1.7746948376070607E7,0,0,0,51222,645379,0,0,0,6.183089029127294,2218.6616251845817,40.08976370941712,2571.0052274216428,671,7,122138,61656,27,1341608475,0,5,0,2213,254,255,89846,20,0,0,0,0,0,0,0,0,839781302,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 10:58:18.591061,119457321,90776,574982,3761045.0,1.425865562E9,300.0,0.0,41.43215167004502,58.54295799061341,26280.0,6.0,2479.843824676193,4227.309140181006,1.1967676782237567E7,5573.187096670283,179.43081484685516,13703.633199669139,3692433.0,0.0,1.19457321E8,1315.971589093914,37232.40326386805,3692433.0,0.0,1.19252087E8,207.40178718949198,15263.544012268354,3902347.0,0.0,26981,25884,0,0,0,0,1815772,11499640,759.9031958870064,4813.283900783276,0.0,26280.0,2147.3667714094695,4016.7388555120842,1.6134191033380529E7,0,0,0,52865,665758,0,0,0,6.334075085925796,2147.366771409431,41.432151670044945,2479.8438246762507,645,7,145724,61174,28,1044913406,0,5,0,2141,256,252,90754,20,0,0,0,0,0,0,0,0,961994008,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:00:19.398467,119418590,71222,438661,2889434.0,1.103636854E9,300.0,0.0,40.56940271264501,57.803190040905314,26280.0,6.0,2515.9219853144755,4310.277382155934,9265946.683845455,4269.712110987075,234.2082874076702,20421.08842428567,7205912.0,0.0,1.1941859E8,1676.7328456494654,54837.28709361198,7205912.0,0.0,1.19418366E8,272.23445493092777,22435.42731051128,7407579.0,0.0,20778,19824,0,0,0,0,1442184,8773220,596.4063049145029,3673.305806072572,0.0,26280.0,2170.157247839194,4089.032979574843,1.6720190708050719E7,0,0,0,40602,509883,0,0,0,6.159066018926736,2170.15724783921,40.56940271264497,2515.9219853144,642,7,158889,61139,27,611078117,0,5,0,2164,251,254,70437,20,9.5572257E7,0.0,9.5572257E7,9.5572257E7,7205912.0,0.0,7205912.0,7205912.0,1082762683,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:02:23.120102,119786843,63293,393458,2678367.0,9.8049981E8,300.0,6.0,42.31695448153832,59.6284887208491,26280.0,6.0,2492.0062878376216,4260.531098642015,8207730.935859124,3813.0314528783433,262.2590979748158,21789.051963931113,8350635.0,0.0,1.19786843E8,1892.6063799532303,58602.04964620189,8350678.0,0.0,1.19571356E8,303.899424841854,24160.256282070717,8350730.0,0.0,19141,18214,0,0,0,0,1265860,7869160,528.3802328774956,3284.6512200008474,6.0,26280.0,2152.54739891094,4043.954771028577,1.6353570190124791E7,0,0,0,37355,456751,0,0,0,6.216453636263094,2152.547398911004,42.31695448153824,2492.006287837584,594,6,131656,60957,28,1301608393,0,5,0,2146,256,253,63292,20,3.1963896E7,0.0,3.1963896E7,3.1963896E7,8350635.0,0.0,8350635.0,8350635.0,1206852571,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:04:24.288271,48289525,30974,190110,1332757.0,4.77917113E8,300.0,6.0,43.02824949958034,60.03858580244586,26280.0,6.0,2513.8978117931388,4315.705464715339,9924509.922182918,4578.30140180505,218.42260598960252,14056.31337875438,2370232.0,0.0,4.8289525E7,1559.084525231641,37821.05969354799,2370232.0,0.0,4.8085346E7,252.93566322478378,16190.022568232756,2576094.0,0.0,9546,8929,0,0,0,0,619480,3802200,641.4227516215991,3936.878650183451,6.0,26280.0,2167.727515333494,4092.908553058652,1.675190042370067E7,0,0,0,18475,221084,0,0,0,6.137728417382321,2167.7275153335386,43.02824949958029,2513.8978117931724,607,7,155946,61949,27,1293918738,0,6,0,2161,256,253,30973,20,0,0,0,0,0,0,0,0,1256523422,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:07:12.590052,219,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,27397.260273972603,9132.4200913242,219.0,0.0,219.0,219.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4566.2100456621,4566.2100456621,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,1376535897,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:09:12.602161,239,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,25104.60251046025,8368.200836820084,239.0,0.0,239.0,239.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4184.100418410042,4184.100418410042,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,1496548026,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:11:12.614316,242,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,24793.388429752067,8264.462809917355,242.0,0.0,242.0,242.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4132.231404958678,4132.231404958678,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,1616560184,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:13:12.626472,274,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,21897.810218978102,7299.270072992701,274.0,0.0,274.0,274.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,3649.6350364963505,3649.6350364963505,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,1736572372,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:15:12.638500,245,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,24489.79591836735,8163.265306122449,245.0,0.0,245.0,245.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4081.6326530612246,4081.6326530612246,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,1856584371,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:17:12.650591,227,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,26431.71806167401,8810.57268722467,227.0,0.0,227.0,227.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4405.286343612335,4405.286343612335,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,1976596444,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:19:12.662669,226,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,26548.672566371682,8849.557522123894,226.0,0.0,226.0,226.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4424.778761061947,4424.778761061947,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,2096608521,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:21:12.674897,119996731,2,2,0.0,12.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.10000272424087953,0.03333424141362651,3.999891033333333E7,6.927979680251421E7,1.19996329E8,187.0,1.19996544E8,1.19996544E8,0.0,1.19996544E8,1.19996544E8,1.19996516E8,1.19996516E8,0.0,1.19996516E8,1.19996516E8,0,0,0,0,0,0,64,40,0.016667120706813254,0.016667120706813254,0.0,6.0,3.0,3.4641016151377544,12.0,0,0,0,0,4,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,187.0,0.0,187.0,187.0,1.19996329E8,0.0,1.19996329E8,1.19996329E8,2336617254,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:25:12.683697,220,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,27272.727272727272,9090.90909090909,220.0,0.0,220.0,220.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4545.454545454545,4545.454545454545,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,2456629543,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:27:12.695605,220,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,27272.727272727272,9090.90909090909,220.0,0.0,220.0,220.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4545.454545454545,4545.454545454545,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,2576641451,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:29:12.707698,204,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,29411.764705882353,9803.921568627451,204.0,0.0,204.0,204.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4901.9607843137255,4901.9607843137255,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,2696653528,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:31:12.719797,389,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,15424.164524421592,5141.388174807198,389.0,0.0,389.0,389.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,2570.694087403599,2570.694087403599,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,2816665812,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:33:12.732021,234,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,25641.02564102564,8547.008547008547,234.0,0.0,234.0,234.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4273.504273504273,4273.504273504273,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,2936677881,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:35:12.744039,119996866,2,2,0.0,12.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.10000261173487648,0.03333420391162549,3.999895533333333E7,6.927978294611569E7,1.19996358E8,218.0,1.19996648E8,1.19996648E8,0.0,1.19996648E8,1.19996648E8,1.19996576E8,1.19996576E8,0.0,1.19996576E8,1.19996576E8,0,0,0,0,0,0,64,40,0.016667101955812745,0.016667101955812745,0.0,6.0,3.0,3.4641016151377544,12.0,0,0,0,0,4,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,218.0,0.0,218.0,218.0,1.19996358E8,0.0,1.19996358E8,1.19996358E8,3176686531,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:39:12.752727,292,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,20547.945205479453,6849.315068493151,292.0,0.0,292.0,292.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,3424.6575342465753,3424.6575342465753,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,3296698645,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:41:12.770622,247,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,24291.497975708502,8097.165991902834,247.0,0.0,247.0,247.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4048.582995951417,4048.582995951417,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,3416716495,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:43:12.795910,281,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,21352.313167259785,7117.437722419929,281.0,0.0,281.0,281.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,3558.7188612099644,3558.7188612099644,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,3536741817,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:45:12.801575,217,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,27649.769585253456,9216.589861751152,217.0,0.0,217.0,217.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4608.294930875576,4608.294930875576,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,3656747418,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:47:12.819940,240,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,25000.0,8333.333333333334,240.0,0.0,240.0,240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4166.666666666667,4166.666666666667,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,3776765806,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:49:12.836884,215,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,27906.976744186046,9302.32558139535,215.0,0.0,215.0,215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4651.162790697675,4651.162790697675,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,3896782725,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:51:12.852832,233,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,25751.07296137339,8583.690987124464,233.0,0.0,233.0,233.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4291.845493562232,4291.845493562232,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,4016798691,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:53:12.868066,213,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,28169.014084507042,9389.671361502347,213.0,0.0,213.0,213.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4694.835680751174,4694.835680751174,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,4136813905,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:55:12.882795,219,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,27397.260273972603,9132.4200913242,219.0,0.0,219.0,219.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4566.2100456621,4566.2100456621,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,4256828640,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:57:12.897354,214,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,28037.383177570093,9345.794392523365,214.0,0.0,214.0,214.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4672.897196261682,4672.897196261682,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,4376843194,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 11:59:12.907923,119994926,2,2,0.0,12.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.10000422851212891,0.03333474283737631,3.999830866666667E7,6.927872870451687E7,1.19994494E8,199.0,1.19994693E8,1.19994693E8,0.0,1.19994693E8,1.19994693E8,1.19994727E8,1.19994727E8,0.0,1.19994727E8,1.19994727E8,0,0,0,0,0,0,64,40,0.016667371418688154,0.016667371418688154,0.0,6.0,3.0,3.4641016151377544,12.0,0,0,0,0,4,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,233.0,0.0,233.0,233.0,1.19994494E8,0.0,1.19994494E8,1.19994494E8,4616848475,0
192.168.10.101-192.168.10.100-49155-445-6,192.168.10.101,49155,192.168.10.100,445,6,2022-07-26 12:03:12.913633,211,1,1,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,28436.018957345972,9478.67298578199,211.0,0.0,211.0,211.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,4739.336492890995,4739.336492890995,0.0,6.0,3.0,4.242640687119285,18.0,0,0,0,0,2,0,0,0,1.0,3.0,0.0,6.0,0,0,0,0,0,0,0,0,0,3,0,253,0,0,0,0,0,0,0,0,0,0,4736859470,0
